Time,X,Y,Z
2380,5.73635,-4.64191,-9.46293
2390,5.96698,-4.79201,-9.24293
2400,6.19035,-4.93597,-9.01752
2410,6.40631,-5.07356,-8.78739
2420,6.61471,-5.20457,-8.55325
2430,6.81548,-5.32882,-8.31582
2440,7.00856,-5.44617,-8.07584
2450,7.19394,-5.5565,-7.83406
2460,7.37163,-5.6597,-7.59123
2470,7.54171,-5.7557,-7.34809
2480,7.70428,-5.84444,-7.1054
2490,7.85945,-5.92588,-6.86389
2500,8.00741,-6,-6.6243
2510,8.15148,-6.06847,-6.38177
2520,8.2943,-6.13303,-6.1311
2530,8.43499,-6.19384,-5.87258
2540,8.57271,-6.25106,-5.60651
2550,8.70665,-6.30483,-5.33323
2560,8.83603,-6.35533,-5.05315
2570,8.96012,-6.40273,-4.76669
2580,9.07822,-6.4472,-4.47432
2590,9.1897,-6.48891,-4.17654
2600,9.29395,-6.52804,-3.87391
2610,9.39045,-6.56475,-3.567
2620,9.4787,-6.59923,-3.25643
2630,9.5583,-6.63164,-2.94284
2640,9.62887,-6.66215,-2.6269
2650,9.69013,-6.69092,-2.30931
2660,9.74186,-6.71811,-1.99079
2670,9.78389,-6.74386,-1.67204
2680,9.81615,-6.76834,-1.35382
2690,9.83861,-6.79166,-1.03687
2700,9.85133,-6.81397,-0.721911
2710,9.85442,-6.8354,-0.409696
2720,9.84807,-6.85604,-0.100945
2730,9.83255,-6.87602,0.203633
2740,9.80815,-6.89542,0.503345
2750,9.77527,-6.91433,0.797521
2760,9.73434,-6.93284,1.08552
2770,9.68584,-6.95101,1.36674
2780,9.63032,-6.96889,1.6406
2790,9.56835,-6.98654,1.90655
2800,9.50057,-7.00399,2.16409
2810,9.42763,-7.02128,2.41277
2820,9.35023,-7.03842,2.65215
2830,9.26908,-7.05542,2.88187
2840,9.18493,-7.0723,3.10157
2850,9.09852,-7.08904,3.31097
2860,9.01063,-7.10563,3.50979
2870,8.92203,-7.12206,3.69781
2880,8.83348,-7.13829,3.87484
2890,8.74577,-7.15431,4.04072
2900,8.65964,-7.17008,4.19531
2910,8.57585,-7.18555,4.33851
2920,8.49512,-7.2007,4.47022
2930,8.41817,-7.21547,4.59037
2940,8.34567,-7.22983,4.69887
2950,8.27827,-7.24374,4.79567
2960,8.21661,-7.25715,4.8807
2970,8.16125,-7.27002,4.95387
2980,8.11274,-7.28233,5.01509
2990,8.07157,-7.29405,5.06425
3000,8.0382,-7.30514,5.1012
3010,8.01359,-7.31595,5.12438
3020,7.99831,-7.32682,5.13272
3030,7.99211,-7.33772,5.12678
3040,7.99469,-7.34864,5.10709
3050,8.00565,-7.35956,5.07409
3060,8.02455,-7.37045,5.02823
3070,8.05088,-7.3813,4.96989
3080,8.0841,-7.39208,4.89944
3090,8.12363,-7.40276,4.81724
3100,8.16886,-7.41332,4.72362
3110,8.21913,-7.42373,4.6189
3120,8.27378,-7.43396,4.50342
3130,8.33215,-7.44398,4.37751
3140,8.39353,-7.45375,4.24149
3150,8.45724,-7.46324,4.09573
3160,8.5226,-7.47242,3.94059
3170,8.58892,-7.48123,3.77646
3180,8.65553,-7.48965,3.60374
3190,8.72179,-7.49762,3.42286
3200,8.78707,-7.50511,3.2343
3210,8.85077,-7.51208,3.03853
3220,8.91232,-7.51846,2.83607
3230,8.9712,-7.52423,2.62746
3240,9.02692,-7.52933,2.41328
3250,9.07904,-7.53372,2.19411
3260,9.12717,-7.53735,1.97058
3270,9.17096,-7.54017,1.74334
3280,9.21014,-7.54216,1.51304
3290,9.24446,-7.54325,1.28036
3300,9.27378,-7.54341,1.04599
3310,9.29796,-7.5426,0.810644
3320,9.31698,-7.54078,0.575023
3330,9.33083,-7.53791,0.339841
3340,9.3396,-7.53396,0.105812
3350,9.34343,-7.52891,-0.126354
3360,9.34249,-7.52271,-0.355953
3370,9.33706,-7.51534,-0.582293
3380,9.32742,-7.50678,-0.804692
3390,9.31394,-7.497,-1.02248
3400,9.29703,-7.48599,-1.23502
3410,9.27713,-7.47372,-1.44166
3420,9.25473,-7.46018,-1.64181
3430,9.23037,-7.44537,-1.83487
3440,9.2046,-7.42926,-2.02026
3450,9.17801,-7.41185,-2.19743
3460,9.15119,-7.39313,-2.36586
3470,9.12478,-7.37311,-2.52502
3480,9.0994,-7.35176,-2.6744
3490,9.07569,-7.32911,-2.81353
3500,9.05429,-7.30514,-2.94192
3510,9.035,-7.27828,-3.06517
3520,9.01716,-7.24709,-3.18913
3530,9.00059,-7.21173,-3.31366
3540,8.98517,-7.17236,-3.43861
3550,8.97075,-7.12915,-3.56384
3560,8.95719,-7.08228,-3.68919
3570,8.94437,-7.03191,-3.8145
3580,8.93217,-6.97823,-3.93963
3590,8.92047,-6.9214,-4.06441
3600,8.90916,-6.86163,-4.18867
3610,8.89814,-6.79908,-4.31227
3620,8.88733,-6.73394,-4.43503
3630,8.87662,-6.66642,-4.55679
3640,8.86596,-6.59672,-4.67739
3650,8.85528,-6.52502,-4.79667
3660,8.84452,-6.45155,-4.91446
3670,8.83363,-6.37651,-5.03061
3680,8.82258,-6.30011,-5.14496
3690,8.81134,-6.22258,-5.25736
3700,8.79988,-6.14415,-5.36764
3710,8.78821,-6.06502,-5.47566
3720,8.77631,-5.98545,-5.58128
3730,8.7642,-5.90567,-5.68435
3740,8.7519,-5.82591,-5.78472
3750,8.73943,-5.74641,-5.88227
3760,8.72682,-5.66743,-5.97686
3770,8.71412,-5.58921,-6.06836
3780,8.70137,-5.51199,-6.15664
3790,8.68862,-5.43604,-6.24159
3800,8.67594,-5.36161,-6.32308
3810,8.66338,-5.28895,-6.401
3820,8.65103,-5.21832,-6.47525
3830,8.63894,-5.14998,-6.54571
3840,8.6272,-5.0842,-6.61228
3850,8.61588,-5.02123,-6.67486
3860,8.60507,-4.96134,-6.73335
