Time,Distance
2430,12.394
2440,12.3694
2450,12.345
2460,11.2895
2470,12.2966
2480,12.2726
2490,12.2488
2500,12.2252
2510,11.2457
2520,9.56171
2530,11.2316
2540,9.56685
2550,9.57102
2560,9.57627
2570,9.58258
2580,9.58994
2590,8.70916
2600,11.084
2610,1.51317
2620,1.35827
2630,1.18866
2640,1.01899
2650,0.849248
2660,0.679458
2670,0.509629
2680,0.339771
2690,0.169891
2700,0
2710,1.19556
2720,1.19556
2730,1.19556
2740,1.19556
2750,1.19556
2760,0
2770,1.19556
2780,10.2024
2790,10.2024
2800,10.2024
2810,10.2024
2820,9.71143
2830,9.71143
2840,9.71143
2850,10.7744
2860,9.71143
2870,9.71143
2880,10.7744
2890,10.7744
2900,10.7744
2910,10.7744
2920,10.7744
2930,10.7744
2940,10.7744
2950,10.7744
2960,1.19556
2970,0
2980,0
2990,0
3000,0
3010,0.0669586
3020,1.12096
3030,0.200883
3040,1.78542
3050,0.334791
3060,0.401734
3070,1.2421
3080,1.47203
3090,0.961076
3100,1.33838
3110,1.27153
3120,0.954263
3130,0.961011
3140,0.972169
3150,0.987582
3160,1.00706
3170,1.03037
3180,1.20468
3190,1.27154
3200,1.12069
3210,0.602563
3220,0.535624
3230,0.468681
3240,0.401742
3250,0.334789
3260,0.267832
3270,0.200878
3280,1.38914
3290,1.34618
3300,0
3310,0.364036
3320,0.727977
3330,1.0917
3340,3.15133
3350,3.46851
3360,3.79483
3370,5.44083
3380,5.15771
3390,5.51624
3400,4.6071
3410,4.34229
3420,4.0868
3430,3.84274
3440,3.6128
3450,3.40004
3460,3.20826
3470,3.0416
3480,2.90459
3490,2.80177
3500,2.73717
3510,2.71348
3520,2.73187
3530,2.79143
3540,1.47576
3550,1.38115
3560,1.37326
3570,2.17217
3580,2.47686
3590,2.79233
3600,0
3610,0.0464434
3620,0.0928807
3630,0.13932
3640,0.185754
3650,0.232198
3660,0.278628
3670,1.60092
3680,0.371503
3690,1.62099
3700,0.464362
3710,0.882117
3720,2.22533
3730,2.17912
3740,2.1329
3750,2.08667
3760,2.04043
3770,1.67495
3780,1.94793
3790,1.90167
3800,0.928518
3810,0.97491
3820,1.02131
3830,1.06769
3840,1.11407
3850,1.16046
3860,1.57995
3870,0.139325
3880,0.0928835
3890,0.0464459
3900,0
3910,0.407756
3920,0.81532
3930,1.22256
3940,1.62927
3950,2.03529
3960,1.41394
3970,1.79172
3980,3.24751
3990,3.64907
4000,4.04908
4010,5.46332
4020,5.85757
4030,6.25112
4040,4.58356
4050,4.98314
4060,5.38121
4070,5.77746
4080,5.70834
4090,5.31294
4100,4.91548
4110,4.51616
4120,4.11522
4130,4.60694
4140,3.3096
4150,3.80579
4160,3.40515
4170,2.09814
4180,1.69689
4190,0.40775
4200,0
4210,1.91714
4220,1.51076
4230,1.48992
4240,3.02507
4250,3.02852
4260,3.04424
4270,3.07204
4280,5.6551
4290,5.49839
4300,5.34113
4310,5.18332
4320,5.025
4330,4.86618
4340,4.70689
4350,4.54718
4360,4.38705
4370,4.22655
4380,5.05381
4390,3.90454
4400,4.74356
4410,5.24523
4420,5.07695
4430,3.93509
4440,3.7644
4450,3.59379
4460,3.42335
4470,3.25319
4480,1.39535
4490,1.22978
4500,0
4510,0.0645372
4520,0.12907
4530,0.193604
4540,1.24328
4550,1.29219
4560,1.34253
4570,3.50581
4580,1.44681
4590,1.50052
4600,1.87141
4610,3.70524
4620,3.75636
4630,1.89864
4640,1.91229
4650,5.24644
4660,5.28543
4670,5.32499
4680,4.24279
4690,4.28023
4700,4.31839
4710,4.35723
4720,4.39677
4730,2.15932
4740,1.89763
4750,1.84123
4760,1.78542
4770,1.73029
4780,1.67591
4790,1.62234
4800,0
4810,0.0797593
4820,0.159505
4830,0.239258
4840,0.319008
4850,6.72796
4860,6.80445
4870,6.41221
4880,6.48724
4890,6.56217
4900,6.63698
4910,0.877015
4920,0.23927
4930,0.15951
4940,0.0797606
4950,0
4960,1.11595
4970,1.03632
4980,0.956667
4990,0.877008
5000,0.797329
5010,0.717643
5020,0.637936
5030,0.558221
5040,0.47849
5050,1.77704
5060,0.319011
5070,0.239259
5080,0.159506
5090,0.0797557
5100,0
5110,0.337966
5120,0.675838
5130,1.76662
5140,1.95732
5150,2.18764
5160,2.44617
