Time,X,Y,Z
2570,6.43039,-8.81065,5.00225
2580,6.56039,-8.70304,5.02179
2590,6.68945,-8.59396,5.03936
2600,6.81753,-8.48344,5.05494
2610,6.94462,-8.37151,5.06854
2620,7.07066,-8.2582,5.08015
2630,7.19564,-8.14352,5.08977
2640,7.31953,-8.02752,5.09739
2650,7.44229,-7.91021,5.10302
2660,7.5639,-7.79163,5.10666
2670,7.68432,-7.6718,5.10829
2680,7.80353,-7.55076,5.10792
2690,7.9215,-7.42853,5.10556
2700,8.0382,-7.30514,5.1012
2710,8.0382,-7.30514,5.1012
2720,8.0382,-7.30514,5.1012
2730,8.0382,-7.30514,5.1012
2740,8.0382,-7.30514,5.1012
2750,8.0382,-7.30514,5.1012
2760,8.0382,-7.30514,5.1012
2770,8.0382,-7.30514,5.1012
2780,8.0382,-7.30514,5.1012
2790,8.0382,-7.30514,5.1012
2800,8.0382,-7.30514,5.1012
2810,8.0382,-7.30514,5.1012
2820,8.0382,-7.30514,5.1012
2830,8.0382,-7.30514,5.1012
2840,8.0382,-7.30514,5.1012
2850,8.0382,-7.30514,5.1012
2860,8.0382,-7.30514,5.1012
2870,8.0382,-7.30514,5.1012
2880,8.0382,-7.30514,5.1012
2890,8.0382,-7.30514,5.1012
2900,8.0382,-7.30514,5.1012
2910,8.0382,-7.30514,5.1012
2920,8.0382,-7.30514,5.1012
2930,8.0382,-7.30514,5.1012
2940,8.0382,-7.30514,5.1012
2950,8.0382,-7.30514,5.1012
2960,8.0382,-7.30514,5.1012
2970,8.0382,-7.30514,5.1012
2980,8.0382,-7.30514,5.1012
2990,8.0382,-7.30514,5.1012
3000,8.0382,-7.30514,5.1012
3010,8.08737,-7.26358,5.0828
3020,8.13631,-7.22187,5.0641
3030,8.185,-7.18001,5.04511
3040,8.23345,-7.13801,5.02584
3050,8.28167,-7.09587,5.00626
3060,8.32963,-7.05358,4.98641
3070,8.37736,-7.01115,4.96626
3080,8.42483,-6.96858,4.94582
3090,8.47206,-6.92588,4.92509
3100,8.51903,-6.88303,4.90408
3110,8.56575,-6.84005,4.88278
3120,8.61222,-6.79694,4.8612
3130,8.65843,-6.7537,4.83933
3140,8.70438,-6.71033,4.81718
3150,8.75008,-6.66683,4.79474
3160,8.79551,-6.6232,4.77202
