Time,Entropy
12550,3.11086
12560,3.13375
12570,3.16101
12580,3.18111
12590,3.20911
12600,3.22998
12610,3.22976
12620,3.23557
12630,3.2358
12640,3.22898
12650,3.21506
12660,3.20074
12670,3.18114
12680,3.18714
12690,3.18335
12700,3.16818
12710,3.16151
12720,3.14806
12730,3.14492
12740,3.14408
12750,3.14972
12760,3.14384
12770,3.12163
12780,3.11521
12790,3.09946
12800,3.0338
12810,3.0166
12820,2.99578
12830,3.02715
12840,3.03295
12850,3.02565
12860,3.02755
12870,3.08664
12880,3.13362
12890,3.13728
12900,3.14479
12910,3.1452
12920,3.15909
12930,3.16405
12940,3.16992
12950,3.1518
12960,3.14668
12970,3.13958
12980,3.13033
12990,3.09402
13000,3.08787
13010,3.07235
13020,3.04713
13030,3.01679
13040,3.02627
13050,3.02511
13060,3.02294
13070,3.00506
13080,2.98914
13090,2.97784
13100,2.98023
13110,2.98019
13120,2.98549
13130,2.98551
13140,2.96854
13150,2.96366
13160,2.96719
13170,2.95125
13180,2.94301
13190,2.93214
13200,2.90578
13210,2.90603
13220,2.89268
13230,2.89563
13240,2.87146
13250,2.86202
13260,2.85555
13270,2.82851
13280,2.81623
13290,2.79002
13300,2.78531
13310,2.77757
13320,2.78721
13330,2.78931
13340,2.78259
13350,2.78967
13360,2.79608
13370,2.79392
13380,2.79676
13390,2.80011
13400,2.80929
13410,2.81803
13420,2.82728
13430,2.84714
13440,2.86933
13450,2.88398
13460,2.89806
13470,2.92501
13480,2.95495
13490,2.98825
13500,3.00026
13510,2.99225
13520,2.98339
13530,2.96587
13540,2.98711
13550,3.01774
13560,3.04143
13570,3.06854
13580,3.08568
13590,3.07192
13600,3.05758
13610,3.038
13620,3.03706
13630,3.03782
13640,3.05412
13650,3.0628
13660,3.05831
13670,3.01857
13680,3.03629
13690,3.04023
13700,3.04471
13710,3.0565
13720,3.06184
13730,3.07752
13740,3.0832
13750,3.08904
13760,3.11544
13770,3.14996
13780,3.18456
13790,3.20901
13800,3.21953
13810,3.22417
13820,3.23383
13830,3.2357
13840,3.24685
13850,3.24625
13860,3.24634
13870,3.23812
13880,3.21875
13890,3.20339
13900,3.19354
13910,3.18662
13920,3.17771
13930,3.17652
13940,3.17818
13950,3.18073
13960,3.19552
13970,3.21463
13980,3.25973
13990,3.28178
14000,3.2843
14010,3.28113
14020,3.28708
14030,3.2875
14040,3.29284
14050,3.29174
14060,3.29194
14070,3.29249
14080,3.29171
14090,3.28624
14100,3.292
14110,3.28699
14120,3.28234
14130,3.27841
14140,3.26432
14150,3.25879
14160,3.25762
14170,3.25014
14180,3.24743
14190,3.24806
14200,3.24138
14210,3.24524
14220,3.23549
14230,3.21485
14240,3.18942
14250,3.17264
14260,3.16141
14270,3.16225
14280,3.1608
14290,3.15595
14300,3.15115
14310,3.14494
14320,3.13872
14330,3.13921
14340,3.14197
14350,3.14644
14360,3.15293
14370,3.16654
14380,3.18388
14390,3.20094
14400,3.1996
14410,3.21222
14420,3.2261
14430,3.22935
14440,3.22365
14450,3.21848
14460,3.19904
14470,3.18098
14480,3.1629
14490,3.1501
14500,3.14857
14510,3.14026
14520,3.12196
14530,3.11511
14540,3.11088
14550,3.10134
14560,3.09016
14570,3.07907
14580,3.0634
14590,3.04099
14600,3.03749
14610,3.02564
14620,3.01267
14630,3.0066
14640,3.03227
14650,3.07371
14660,3.10285
14670,3.10899
14680,3.11267
14690,3.12241
14700,3.1272
14710,3.11998
14720,3.1098
14730,3.11032
14740,3.10967
14750,3.11107
14760,3.09978
14770,3.0873
14780,3.0772
14790,3.07097
14800,3.0707
14810,3.07599
14820,3.0674
14830,3.07028
14840,3.07228
14850,3.07566
14860,3.07277
14870,3.082
14880,3.08387
14890,3.07966
14900,3.08152
14910,3.07127
14920,3.05657
14930,3.05309
14940,3.04087
14950,3.04284
14960,3.02777
14970,3.00561
14980,3.00093
14990,2.99145
